;Gender;M
;Season;(Višestruke stavke)
;FAI rank;(Višestruke stavke)
;FAI Licence Validation;(Višestruke stavke)

;WALAR score points;Competitions
;Competitor;2021 Dubai IPC;2021 WPC;2022 EEAC BiH;2022 WPC;2023 Dolomiti Cup;2023 Dubai IPC;2023 EEAC BiH;2023 EEAC Bulgaria;2023 EPC;2023 NC Austria;2023 SWCS Austria;2023 SWCS Italy;2023 SWCS UAE;2023 World Cup;2024 Dubai IPC;2024 EEAC BiH;2024 Poreč IPC;2024 SWCS Austria;2024 SWCS Czech R.;2024 SWCS Italy;2024 WPC;2025 Poreč IPC;2025 SWCS Czech R.;2025 EPC;2025 SWCS Italy;2025 SWCS Austria;2025 Asian PC;2025 World Cup;Total
1;Stefan Wiesner | Germany;1300;;;13;240;;;;1500;;950;1300;850;1400;;;;1000;270;950;1800;;;;;;;;11573
2;Oldřich Šorf | Czech Republic;;800;;850;;;;;1200;;120;170;400;1100;;;;1300;270;1300;800;;220;400;1300;750;;;10980
3;Hynek Tábor | Czech Republic;650;440;;1100;;450;;;130;;55;500;230;100;400;;;850;270;650;1600;;220;400;450;180;;;8675
4;Sebastian Graser | Austria;;;;100;;650;;;;440;500;280;120;;950;;;650;650;320;1100;;350;850;350;220;;800;8330
5;Mathieu Guinde | France;;440;;1500;;;;;1100;;55;500;230;900;;;;;;500;550;;190;600;700;;;;7265
6;Jiří Gečnuk | Czech Republic;450;1150;;400;;;;;700;;180;500;75;700;;;;220;900;120;110;;300;1050;160;130;;;7145
7;Miloslav Kříž | Czech Republic;;620;;400;;400;;;550;;40;100;140;500;;;;150;1150;320;1300;;140;300;160;300;;;6570
8;Thomas Jeannerot | France;;900;;180;;;;;900;;;1000;650;800;;;;;;500;1500;;;;;;;;6430
9;Claudio Carbone | Italy;450;73;;470;100;270;;;;;150;1;180;;1300;850;;;90;4;350;700;110;250;550;450;;;6348
10;Vittorio Guarinelli | Italy;600;620;;150;180;320;;;;;20;140;320;;520;;;;270;150;550;;650;1250;270;270;;;6280
11;Mohamed Al Atas | Qatar;;52;750;1400;170;;;;;;500;220;;120;;;370;270;6;400;700;180;170;;160;220;257;64;6009
12;Tamás Varga | Hungary;600;;;700;;;;;900;;;370;;800;600;;;;350;500;900;;40;110;110;;;;5980
13;Giuseppe Tresoldi | Italy;600;;;;400;100;;;700;;69;950;160;700;;;;15;;900;;;;;700;650;;;5944
14;Magnus Falk | Sweeden;120;500;;470;;450;;;900;;120;73;400;800;160;;;6;0;120;270;;140;250;0;3;;1000;5782
15;Khalid Shajea | Qatar;;620;290;100;;;;;;;5;8;;160;;;450;350;200;400;1300;800;130;;270;180;300;120;5683
16;Fabrizio Mangia | Italy;;440;;1100;400;;;;180;;;30;650;160;;;;;;190;;450;150;600;350;;;;4700
17;Abdulaziz Ahmed | Qatar;;95;;400;800;;;;;;600;220;;29;;;110;180;350;0;550;44;69;;200;450;370;130;4597
18;Gábor Hirschler | Hungary;;;;1100;;;;;600;;30;370;;550;;;;37;10;120;;;240;320;950;130;;;4457
19;Mohamed Obaid Al Suwaidi | UAE;60;95;;120;;500;;;;;;15;140;;340;;650;;;190;550;140;;;;;900;650;4350
20;Robin Griesheimer | Germany;37;;;700;;;;;68;;180;73;650;23;;;;150;;;950;;80;210;270;450;;500;4341
21;Sylvain Ferroni | France;;1250;;400;;;;;160;;69;650;120;140;;;;;;150;350;;190;600;200;;;;4279
22;Kaiyuan Zhang | China;;;;;;;;;;;;;;1000;;;;;;;700;;;;;;1300;1200;4200
23;Kai Erthel | Germany;600;;;700;;;;;250;;120;40;320;200;;;;130;0;320;550;;80;210;52;110;;320;4002
24;Ruilong Yu | China;;;;;;;;;;;;;;500;;;;;;;220;;;;;;1600;1500;3820
25;Bonifac Hajek | Czech Republic;500;;;;;190;;;;;150;220;230;;1050;;;350;120;190;;;85;210;270;160;;;3725
26;Paolo Filippini | Italy;200;440;;180;450;99;;;;;69;100;230;;;;550;;350;240;190;31;110;250;200;0;;;3689
27;Tamás Bánszki | Hungary;;;;180;;;;;280;;500;280;;200;520;;;130;130;66;550;;150;250;450;;;;3686
28;Elischa Weber | Germany;;;;150;70;67;;;250;;250;280;57;200;;;;130;;650;190;;66;180;550;22;;550;3662
29;Pierfrancesco Vanni | Italy;340;180;;;300;;;;210;80;250;800;75;180;59;;;220;14;66;;;240;400;160;60;;;3634
30;Yousef Haidar Al Sanqoor | UAE;110;40;;220;;35;;;;160;;370;0;;900;;370;;;120;700;45;;;;;370;130;3570
31;Gernot Alic | Austria;;140;;600;;200;;;;230;320;370;8;;340;;;7;150;320;60;;10;55;200;80;;320;3410
32;Mohammed Al Marri | Qatar;;;71;100;15;;;;;;10;170;;200;;;140;130;40;240;;130;400;;450;220;520;320;3156
