CompetitionID;No;Competition;Season;Unique Competition;Date of Competition start;Date of Competition end;Place;Conutry;FAI RANK;Bilten status;Finished jump rounds;M-Bilten;F-Bilten;JM-Bilten;JF-Bilten;CheckMFJ;M;F;JM;JF;ALL;ALL Juniors;Style M;Style F;Sum of WALAR rating points of the competitors;WALAR organizers points;Competition ranking;Team AL 1 place male;Team AL 2 place male;Team AL 3 place male;Chief Judge
202300;0.;Cumulus Cup;2025;2025 Cumulus Cup;2024-11-25 00:00:00;2024-11-26 00:00:00;TestPlace;TestCountry;Cat.2;;10;25;6;2;3;NE;0;0;0;0;31;5;/;/;0;0;Under
;;;;"SWCS Klatovy, Belluno, and Thalgau, plus the European Championships in ST&AL in Klatovy and the World Cup and Asian Championships in ST&AL in China.
Poreč IPC was also a 2nd category event.";;;;;;;;;;;;OK;0;0;0;0;0;0;/;/;;0;Under
;31.;Jadranski kup;2025;2025 Jadranski kup;2025-05-22 00:00:00;2025-05-25 00:00:00;Budva;Montenegro;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;;EEAC Moldova;2025;2025 EEAC Moldova;2025-06-06 00:00:00;2025-06-08 00:00:00;Vadul-lui-voda;Moldova;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;;NC Slovenia;2025;2025 NC Slovenia;2025-06-21 00:00:00;2025-06-22 00:00:00;Metlika;Slovenia;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;;EASC Poland;2025;2025 EASC Poland;2025-07-25 00:00:00;2025-07-27 00:00:00;Zamošć;Poland;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;;EEAC Bulgaria;2025;2025 EEAC Bulgaria;2025-09-04 00:00:00;2025-09-07 00:00:00;Montana;Bulgaria;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;;EEAC Hungary;2025;2025 EEAC Hungary;2025-09-26 00:00:00;2025-09-28 00:00:00;Szeged;Hungary;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;;EEAC Romania;2025;2025 EEAC Romania;2025-10-03 00:00:00;2025-10-05 00:00:00;Brasov;Romania;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
;47.;CISM WPC;2025;2025 CISM WPC;2025-11-13 00:00:00;2025-11-23 00:00:00;Doha;Qatar;Cat.1 CISM;;7;136;42;12;7;NE;136;42;8;3;178;11;65;22;263;347949;CISM
;;Asian PC;2025;2025 Asian PC;2025-10-24 00:00:00;2025-10-31 00:00:00;Ji’an, Jiangxi;China;Cat.1;;10;26;7;6;3;OK;26;7;6;3;33;9;19;7;69;28980;EPC
;;World Cup;2025;2025 World Cup;2025-10-24 00:00:00;2025-10-31 00:00:00;Ji’an, Jiangxi;China;Cat.1;;10;65;18;18;10;OK;65;18;18;10;83;28;49;17;182;202020;Wcup
;;SWCS Switzerland;2025;2025 SWCS Switzerland;2025-09-19 00:00:00;2025-09-21 00:00:00;Locarno;Switzerland;;;8;174;26;14;2;NE;0;0;0;0;0;0;/;/;0;0;SWCS
;35.;Alkarski kup;2025;2025 Alkarski kup;2025-08-30 00:00:00;2025-08-31 00:00:00;Sinj;Croatia;;;;;;;;OK;0;0;0;0;0;0;/;/;0;0;Under
