Abu Dhabi Open Parachute Championship;;Croatia
Alkarski kup;;Argentina
Alpe Adria Cup Croatia;;Austria
Ameri Cup;;BiH
Ameri Cup #1;;Bulgaria
Ameri Cup #2;;China
Asiana PC & China International Open;;Czech Republic
Blokhus Open;;Denmark
BSP;;France
CISM Regional Tournament Para;;GB
CISM WPC;;Germany
Croatia Cup;;Hungary
Cumulus Cup;;Ingushetya
Day & Night;;Italy
Deutschland Cup Ziel April;;Japan
Deutschland Cup Ziel May;;Korea
Dolomiti Cup;;Moldova
DPP Srbije;;Montenegro
Dubai IPC;;Poland
EASC Poland;;Portugal
EEAC BiH;;Qatar
EEAC Bulgaria;;Romania
EEAC Hungary;;Russia
EEAC Moldova;;Serbia
EEAC Poland;;Slovakia
EEAC Romania;;Slovenia
EPC;;Spain
Europa Cup Austria;;Sweden
Europa Cup Croatia;;Switzerland
Europa Cup Germany;;Turkey
Europa Cup Italy;;UAE
Europa Cup Slovenia;;USA
Europa Cup Switzerland
Friendship Cup;;Čehoslovačka
Ingushetya;;Germany DDR
IPA Kup;;Oklahoma, USA
Jadranski kup;;SSSR
Kup Branka Dobrinića;;Yugoslavia
Kup Državnosti
Kup Grada Opatije
Kup Grada Siska
Kup Grada Vukovara
Međunarodni kup Nena Ličina
Memorijal PBDR
Memorijal Slavonskih zrakoplovaca
Memorijal Vrsar
Memorijal Zagreba
Monza
National PC AL Portugal
NC Austria
NC Croatia
NC France
NC Great Britain
NC Italy
NC Montenegro
NC Romania
NC Serbia
Novosadski kup
ODPP BiH
ODPP Crne Gore
ODPP Slovenije
Open National PC AL Bulgaria
OPPG Osijeka
OPPG Rijeke i PGŽ
Otvoreno PP Grada Rijeke
Otvoreno PP Grada Rijeke i PGŽ
Para-Challenge Kup
Para-Ski kup Nikšić
Pet Zvijezda
Petrovdanski kup
PK Nikšića
Poreč IPC
Ptuj Cup
SWCS Austria
SWCS Croatia
SWCS Czech R.
SWCS France
SWCS Italy
SWCS Slovenia
SWCS Switzerland
SWCS UAE
Urban Cup
WCS Austria
WCS Croatia
WCS Germany
WCS Italy
WCS Slovenia
WCS Switzerland
World Cup
World Cup + World Air Games
WPC
Zagreb Kup

