Additional points for the results (dead center 2 cm);;;;;;;;;;;;;;;;;
Jump rounds;score;1;2;3;4;5;6;7;8;9;10;;;;;;
0 cm;0;;;;250;350;450;600;750;850;1000;;;;;;
1 cm;1;;;;200;300;400;500;700;800;950;;;;;;
2 cm;2;;;;150;250;350;450;600;750;900;;;;;;
3 cm;3;;;;120;200;300;400;500;700;850;;;;;;
4 cm;4;;;;100;150;250;350;450;600;800;;;;;;
5 cm;5;;;;90;120;200;300;400;500;750;;;;;;
6 cm;6;;;;80;100;150;250;350;450;700;;;;;;
7 cm;7;;;;70;90;120;200;300;400;600;;;;;;
8 cm;8;;;;60;80;100;150;250;350;500;;;;;;
9 cm;9;;;;50;70;90;120;200;300;450;;;;;;
10 cm;10;;;;40;60;80;100;150;250;400;;;;;;
11 cm;11;;;;30;50;70;90;120;200;350;;;;;;
12 cm;12;;;;20;40;60;80;100;150;300;;;;;;
13 cm;13;;;;15;30;50;70;90;120;250;;;;;;
14 cm;14;;;;10;20;40;60;80;100;200;;;;;;
15 cm;15;;;;9;15;30;50;70;90;150;;;;;;
16 cm;16;;;;8;10;20;40;60;80;120;;;;;;
17 cm;17;;;;7;9;15;30;50;70;100;;;;;;
18 cm;18;;;;6;8;10;20;40;60;90;;;;;;
19 cm;19;;;;5;7;9;15;30;50;80;;;;;;
20 cm;20;;;;4;6;8;10;20;40;70;;;;;;
21 cm;21;;;;3;5;7;9;15;30;60;;;;;;
22 cm;22;;;;2;4;6;8;10;20;50;;;;;;
23 cm;23;;;;1;3;5;7;9;15;40;;;;;;
24 cm;24;;;;;2;4;6;8;10;30;;;;;;
25 cm;25;;;;;1;3;5;7;9;20;;;;;;
26 cm;26;;;;;;2;4;6;8;15;;;;;;
27 cm;27;;;;;;1;3;5;7;10;;;;;;
28 cm;28;;;;;;;2;4;6;9;;;;;;
29 cm;29;;;;;;;1;3;5;8;;;;;;
30 cm;30;;;;;;;;2;4;7;;;;;;
31 cm;31;;;;;;;;1;3;6;;;;;;
32 cm;32;;;;;;;;;2;5;;;;;;
33 cm;33;;;;;;;;;1;4;;;;;;
34 cm;34;;;;;;;;;;3;;;;;;
35 cm;35;;;;;;;;;;2;;;;;;
36 cm;36;;;;;;;;;;1;;;;;;
;37;;;;;;;;;;;;;;;;
;38;;;;;;;;;;;;;;;;
;39;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;
;41;;;;;;;;;;;;;;;;
;42;;;;;;;;;;;;;;;;
;43;;;;;;;;;;;;;;;;
;44;;;;;;;;;;;;;;;;
;45;;;;;;;;;;;;;;;;
;46;;;;;;;;;;;;;;;;
;47;;;;;;;;;;;;;;;;
;48;;;;;;;;;;;;;;;;
;49;;;;;;;;;;;;;;;;
;50;;;;;;;;;;;;;;;;
